Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,title,Sound Mix,Aspect Ratio,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters)
Kirk DeMicco,"Lisa Stewart,Michelle Wong,Rich Moore","Kirk DeMicco,Quiara Alegría Hudes",,"One Cool Film Production,Sony Pictures Animation,Columbia Pictures",PG (Some Thematic Elements|Mild Action),"Kids & Family,Musical,Comedy,Animation",English,,"Aug 6, 2021",1h 38m,Vivo,Dolby Digital,Scope (2.35:1),,,
Charlie Steeds,,Charlie Steeds,Quiver Distribution,"Dark Temple Motion Pictures,Ace Entertainment Films",,"Sci-Fi,Horror,Mystery & Thriller",English,,"Feb 6, 2024",1h 37m,Gods of the Deep,,,,,
Brian Robbins,"Brian Robbins,Kevin Kopelow,Heath Seifert,Michael Tollin","Dan Schneider,Kevin Kopelow,Heath Seifert",Paramount Pictures,"Paramount Pictures,Tollin/Robbins Productions,Nickelodeon Movies",PG,Comedy,English,"Jul 25, 1997, Original","Aug 1, 2013",1h 35m,Good Burger 2,"Surround,Dolby",,$23.7M,,
Miranda July,"Dede Gardner,Youree Henley,Jeremy Kleiner",Miranda July,Focus Features,"Annapurna Pictures,Plan B Entertainment",R (Some Sexual References|Language),"Comedy,Drama",English,"Sep 25, 2020, Limited","Oct 14, 2020",1h 44m,Kajillionaire,,Scope (2.35:1),$524.0K,,
Eliza Hittman,"Sara Murphy,Adele Romanski",Eliza Hittman,Focus Features,"BBC Films,Focus Features,Pastel",PG-13 (Language|Disturbing Thematic Content|Mature Thematic Content|Some Sexual References|Teen Drinking),Drama,English,"Mar 13, 2020, Limited","Apr 3, 2020",1h 41m,Never Rarely Sometimes Always,,Flat (1.85:1),$16.3K,,
"Fiona Gordon,Dominique Abel","Christie Molia,Dominique Abel,Fiona Gordon","Fiona Gordon,Dominique Abel",Kino Lorber,"Moteur S'il Vous Plaît,Courage Mon Amour",,"Comedy,Crime,Mystery & Thriller",French,"Aug 30, 2024, Limited","Oct 29, 2024",1h 38m,The Falling Star,,,$9.5K,,
Luke Bradford,Luke Bradford,Luke Bradford,,Frogspawn Film,,Drama,British English,,"Feb 12, 2021",10m,Alone Together,,,,,
Jerry Ciccoritti,,"John-Eliot Jordan,Carlie Mantilla",,Motion Picture Corporation of America,PG,"Holiday,Romance",English,,"Nov 26, 2021",2h 0m,Angel Falls Christmas,,,,,
Tim Story,"John Jacobs,Will Packer,Tim Story,Jessica Virtue","Scott Rosenberg,Paula Pell",Disney+,"Smart Entertainment,Will Packer Productions,Walt Disney Pictures",PG,"Kids & Family,Holiday,Comedy,Adventure,Fantasy",English,,"Nov 17, 2023",1h 30m,Dashing Through the Snow,,,,,
Jeff Baena,"Jeff Baena,Alison Brie,Alana Carithers,Mel Eslyn","Jeff Baena,Alison Brie",,Duplass Brothers Productions,R (Language|Graphic Nudity|Drug Use|Some Sexuality),"Comedy,Drama",English,,"Feb 7, 2020",1h 44m,Horse Girl,,,,,
Joaquin Llamas,Brian Pitt,Victoria Vinuesa,Vertical,Pitt Street Productions,,"Romance,Drama",English,"Jul 21, 2023, Limited","Jul 25, 2023",1h 34m,See You on Venus,,,,,
Trevor Kirschner,Chris Phillips,Jed Spingarn,Nickelodeon,"Awesomeness Films,Nickelodeon Movies",,"Kids & Family,Action,Comedy",English,,"Mar 7, 2024",1h 30m,The Thundermans Return,Dolby SRD,,,,
Bill Holderman,"Erin Simms,Bill Holderman","Bill Holderman,Erin Simms",Focus Features,"Makeready,Focus Features,Fifth Season,Apartment Story,Universal Studios",PG-13 (Suggestive Material|Some Strong Language),Comedy,English,"May 12, 2023, Wide","May 30, 2023",1h 47m,Book Club: The Next Chapter,,Flat (1.85:1),$17.5M,,
Dev Anand,Dev Anand,,,,,Drama,Hindi,,,1h 40m,Censor,,,,,
Stephen Cognetti,Joe Bandelli,Stephen Cognetti,,Cognetti Films,,Horror,English,"Sep 19, 2019, Limited","Jan 3, 2020",1h 25m,Hell House LLC III: Lake of Fire,,,,,
Paris Zarcilla,Chi Thai,Paris Zarcilla,Brainstorm Media / Doppelganger Releasing,Last Conker,,"Horror,Drama,Mystery & Thriller",English,"Dec 1, 2023, Limited","Dec 8, 2023",1h 39m,Raging Grace,Dolby Digital,,,,
Justin G. Dyck,"Keith Cooper,Justin G. Dyck,Christopher Giroux,Bill Marks",Keith Cooper,,Vortex Productions,,Horror,English,,"Dec 3, 2020",1h 37m,Anything for Jackson,,,,,
Allan Ungar,"Jordan Beckerman,Eric Gozlan,Jordan Yale Levine",Kraig Wenman,Quiver Distribution,"Head Gear Films,Buffalo 8 Productions,Kreo Films FZ,Metrol Technology,BondIt Media Capital,Lucky 13 Productions,Yale Productions,Complex Corp ,Goldrush Entertainment",R (Some Sexual Material/Nudity|Language Throughout),"Crime,Drama,Mystery & Thriller",English,"Sep 23, 2022, Limited","Sep 23, 2022",2h 6m,Bandit,,,,,
Frank E. Jackson Jr.,,,,Vibrancy Media,,Action,English,,"Aug 23, 2020",1h 35m,Dead Money,,,,,
Brian Baugh,"Brian Baugh,Ken Carpenter,Stephen Preston,Julie Ryan",Brian Baugh,Roadside Attractions,"Red Sky Studios,Nook Lane Entertainment,MK1 Productions",PG (Language and Thematic Elements	),"Romance,Comedy",English,"May 14, 2021, Wide","Jul 27, 2021",1h 55m,Finding You,,,$2.8M,,
Jon Keeyes,"Jordan Yale Levine,Jordan Beckerman,Michael J. Rothstein,Richard Bolger,Conor Barry,Richard Clabaugh",Charles Burnley,Saban Films,Yale Productions,R (Some Sexual References|Language|Violent Content),"Mystery & Thriller,Crime,Drama,Action",English,"Jan 19, 2024, Limited","Feb 6, 2024",1h 44m,Cult Killer,,,,,
Oliver Kienle,"Quirin Berg,Hannes Höhn,Max Wiedemann,Philip Koch,Maximilian Vetter","Oliver Kienle,Philip Koch",Netflix,"W&B Television,Nocturna Productions",,"Action,Drama",German,,"Jan 19, 2024",1h 28m,Sixty Minutes,Dolby Digital,,,,
"Martin Kjellberg,Nils Wåhlin",,"Martin Kjellberg,Nils Wåhlin",,,,"Horror,Mystery & Thriller",Swedish,,,1h 13m,The Cellar,,,,,
Hanna Bergholm,"Mika Ritalahti,Nico Ritalahti,Nima Yousefi",Ilja Rautsi,IFC Midnight,"The Searchers NV,Film i Väst,Silva Mysterium Oy,Umedia,Hobab,Evil Doghouse Productions",,Horror,Finnish,"Apr 29, 2022, Limited","May 17, 2022",1h 27m,Hatching,,Flat (1.85:1),$182.8K,,
Charles Saunders,Guido Coen,Brock Williams,,,,"Comedy,Drama",British English,,"Nov 18, 2020",1h 2m,Strictly Confidential,,,,,
James Kicklighter,"Guy Seemann,James Kicklighter",,Gravitas Ventures,,,Documentary,English,,"Oct 29, 2024",1h 30m,The American Question,,,,,
Brendan Rudnicki,Brendan Rudnicki,"Brendan Rudnicki,Kellan Rudnicki",Indie Rights,,,Horror,English,,"Aug 17, 2023",1h 20m,Horror in the Forest,,,,,
Farren Blackburn,"Ariel Zeitoun,Claude Léger,Christine Haebler",Christina Hodson,EuropaCorp,"EuropaCorp,Lava Bear Films,Transfilm",PG-13 (Nudity|Brief Strong Language|Some Violence/Bloody Images|Terror|Thematic Elements),Mystery & Thriller,English,"Nov 11, 2016, Wide","Feb 21, 2017",1h 31m,Shut In,,,$6.9M,,
Ole Bornedal,"Jonas Allen,Peter Bose",Ole Bornedal,,Miso Film,,"History,Drama,War",Danish,,"Mar 9, 2022",1h 47m,The Bombardment,,,,,
Vincent Grashaw,"Angelia Adzic,Vincent Grashaw,Ran Namerode,Bernie Stern",Robert Alan Dilts,,Randomix Productions,,"Horror,Mystery & Thriller",English,,"Aug 4, 2022",2h 0m,What Josiah Saw,,Scope (2.35:1),,,
Tyler Smith,"Shannon Sinclear,Darrell Mapson,Don Dufer","Jeffrey Smith,David Novak",Miracle Media / Trinity Creative Partnership,Jefybal Productions,,Western,English,,"May 14, 2024",1h 28m,Among the Willows,,,,,
Bess Wohl,"Alex Saks,Lauren Beveridge,Brett Beveridge,Jeffrey Penman","Bess Wohl,Bess Wohl",Magnet Releasing,"Point Productions,Page Fifty-Four Pictures",,Drama,English,"Feb 3, 2023, Limited","Feb 3, 2023",1h 33m,Baby Ruby,,,$16.7K,,
"Demi Lovato,Nicola Marsh","Michael D. Ratner,Scott Ratner,Miranda Sherman,Kfir Goldberg,Demi Lovato",,Hulu,,,Documentary,English,,"Sep 17, 2024",1h 37m,Child Star,,,,,
Jason Lei Howden,"Tom Hern,Felipe Marino,Joe Neurauter",Jason Lei Howden,Saban Films,"Occupant Entertainment,Altitude Film Entertainment,Maze Pictures,Ingenious Media",R (Drug Use|Brief Graphic Nudity|Pervasive Language|Sexual References|Strong Bloody Violence),"Action,Comedy",English,"Feb 28, 2020, Limited","Feb 28, 2020",1h 35m,Guns Akimbo,,,,,
Kim Hui-jin,Jang Eun-young,Kim Hui-jin,Netflix,"Netflix Studios,Yong Film",,"Drama,Romance",Korean,,"Mar 1, 2024",2h 11m,My Name Is Loh Kiwan,,,,,
"Kim Gok,Kim Sun",,,,SOO FILM,,"Action,Crime,Drama",Korean,,,1h 49m,On the Line,,,,,
Stephen Frears,"Steve Coogan,Christine Langan,Dan Winch,Wendy Griffin","Steve Coogan,Jeff Pope",IFC Films,"E1 Entertainment,Magaritz Productions,BBC Films,Ingenious Media,Baby Cow Productions,Pathé",PG-13 (Some Strong Language|Brief Suggestive References),"Comedy,Drama",English,"Mar 24, 2023, Limited","May 9, 2023",1h 49m,The Lost King,Dolby Digital,,$1.2M,,
Vincente Minnelli,Arthur Freed,"Robert Nathan,Joseph Schrank",Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,Romance,English,"May 25, 1945, Original","Jan 1, 2009",1h 30m,Clock,,,,,
Annie Bradley,"Kyle Cooper,Jason Wan Lim","Jennifer Aspen,John-Eliot Jordan",,Crown Media Productions,,"Holiday,Drama,Romance",English,,"Nov 2, 2021",1h 23m,Meet Me at Christmas,,,,,
David Rakowiecki,David Rakowiecki,David Rakowiecki,,,,"Mystery & Thriller,Comedy",English,,,1h 26m,Spoiler Alert,,,,,
Patrick Ridremont,"Virginie Ogouz,Alain Benguigui",Patrick Ridremont,,"Sombrero Films,Alba Films,Frakas Productions",,"Mystery & Thriller,Horror",French (France),,"Dec 2, 2021",1h 30m,The Advent Calendar,,,,,
Lawrence Fowler,"Lawrence Fowler,Geoff Fowler","Lawrence Fowler,Geoff Fowler",4 Digital Media,Fowler Media,,"Horror,Mystery & Thriller",British English,,"Apr 9, 2024",1h 33m,The Jack in the Box: Rises,,,,,
"Dusty Mancinelli,Madeleine Sims-Fewer",,"Dusty Mancinelli,Madeleine Sims-Fewer",,,,"Drama,Horror",English,,"Mar 25, 2021",1h 47m,Violation,,,,,
Michael Curtiz,,,Warner Bros. Pictures,Warner Brothers/Seven Arts,,Romance,English,"Aug 9, 1938, Original","Nov 20, 2016",1h 30m,Four Daughters,,,,,
Vince Edwards,Robert F. O'Neill,,,,,Mystery & Thriller,English,,,1h 14m,Maneater,,,,,
Miki Takahiro,"Sho Toguchi,Tatsuya Sakano",Tomoko Yoshida,Netflix,,,"Romance,Drama",Japanese,,"Jun 27, 2024",1h 58m,Drawing Closer,,,,,
Nick Cassavetes,"Michael Mendelsohn,Donald V. Allen",Nick Cassavetes,Wayward Entertainment,"Patriot Pictures,Itaca Films,XYZ Films",,"Action,Mystery & Thriller",English,"Jun 23, 2023, Wide","Jul 11, 2023",2h 36m,God Is a Bullet,,,$118.0K,,
Shen Chiang,Run Me Shaw,"Shen Chiang,Li Min Hsu",,,,Action,Chinese,,"May 22, 2017",1h 30m,The Rescue,,,,,
Brett Sullivan,"Michael Roiff,Fran Weissler,Barry Weissler,Sara Bareilles,Jessie Nelson,Paul Morphos",,Bleecker Street / Fathom Events,"Steam Motion and Sound,Dear Hope Productions,Night and Day Pictures,National Artists Management Company,PJM Productions",,"Musical,Comedy",English,"Dec 7, 2023, Limited","Jan 9, 2024",2h 24m,Waitress: The Musical,,Flat (1.85:1),$4.8M,,
Paul Verhoeven,"Saïd Ben Saïd,Michel Merkt,Jérôme Seydoux","David Birke,Paul Verhoeven",IFC Films,"Belga Productions,France 3 Cinéma,SBS Productions,France 2 Cinéma,Pathé,Topkapi Films",,"History,Drama,Biography,LGBTQ+",French (France),"Dec 3, 2021, Limited","Dec 21, 2021",2h 6m,Benedetta,Dolby Digital,Scope (2.35:1),$354.3K,,
Sia,"Vincent Landay,Sia","Sia,Dallas Clayton",,"Pineapple Lasagne Productions,Landay Entertainment,Crush Pictures,Atlantic Films",PG-13 (Drug Material|Brief Violence|Strong Language|Thematic Content),"Musical,Drama",English,,"Feb 1, 2021",1h 47m,Music,,Scope (2.35:1),,,
"Ken McMullen,Christopher Rodrigues",,,,,,Drama,English,,,1h 30m,Resistance: 1942,,,,,
Jonah Hill,"Chelsea Barnard,Diane Becker,Alison Goodwin,Jonah Hill,Matt Dines,Melanie Miller,Mark Monroe,Joaquin Phoenix",,Netflix,Strong Baby,R (Language),Documentary,English,"Nov 4, 2022, Limited","Nov 14, 2022",1h 36m,Stutz,,,,,
Michael Polish,"Gina Carano,Dallas Sonnier,Amanda Presmyk",Josiah Nelson,,"Voltage Pictures,Bonfire Legend,The Searchers NV,The Daily Wire",,"Western,Mystery & Thriller,Action",English,,"Jun 14, 2022",1h 47m,Terror on the Prairie,,,,,
José Manuel Cravioto,"Erik Barmack,Alexis Fridman,Jimena Rodriguez","Javier Durán Pérez,Anton Goenechea",Netflix,Perro azul,,"Mystery & Thriller,Comedy",Spanish,,"Oct 6, 2023",1h 32m,A Deadly Invitation,,,,,
Lindsey Anderson Beer,"Lorenzo di Bonaventura,Mark Vahradian","Lindsey Anderson Beer,Jeff Buhler",Paramount+,"Paramount Players,Paramount Pictures,Room 101 Inc.,Di Bonaventura Pictures",R (Horror Violence|Gore|Language),"Horror,Mystery & Thriller,Fantasy",English,,"Oct 6, 2023",1h 27m,Pet Sematary: Bloodlines,"Dolby Atmos,Dolby Digital",Digital 2.39:1,,,
Greg Barker,"Daniel Marc Dreifuss,Wagner Moura",Craig Borten,,"Thai Occidental Productions,Black Rabbit Media,Desert Motion Pictures,Anima Pictures",R (A Scene of Sexuality|Some Bloody Images|Language),Drama,English,,"Apr 18, 2020",1h 58m,Sergio,,,,,
"Clare Knight,Harry Cripps",Daniela Mazzucato,Harry Cripps,Netflix,"Netflix Animation,Weed Road Pictures,Reel FX Creative Studios",PG (Rude/Suggestive Material|Action),"Kids & Family,Comedy,Adventure,Animation",English,"Dec 3, 2021, Limited","Dec 10, 2021",1h 32m,Back to the Outback,"Dolby Digital,Dolby Atmos",,,,
James Bamford,Steven Paul,Mark Shea Price,Republic Pictures,SP Media Group,R (Bloody Images|Violence|Language),Mystery & Thriller,English,,"Jun 25, 2024",1h 27m,Hard Home,,,,,
Gary Shore,"Brett Tomberlin,Thorsten Schumacher,Lars Sylvest,Nigel Sinclair,Nicholas Ferrall,Laurie Cook,Jason Newmark","Stephen Oliver,Tom Vaughan,Gary Shore",Vertical,"Trinity Media Films,White Horse Pictures,Rocket Science,Imagination Design Works,Bigscope Films,Fulwell 73,BCP Asset Management,Creativity Capital",,"Horror,Mystery & Thriller",English,"Aug 18, 2023, Limited","Oct 17, 2023",1h 54m,Haunting of the Queen Mary,,,,,
"Peter Baynton,Charlie Mackesy","J.J. Abrams,Matthew Freud,Cara Speller",Jon Croker,,"NoneMore Productions,Bad Robot",TV-G,"Fantasy,Animation,Kids & Family",English,,"Dec 25, 2022",32m,"The Boy, the Mole, the Fox and the Horse",,,,,
Yariv Mozer,,,Iconic Events,See It Now Studios,,Documentary,English,"Aug 29, 2024, Limited","Sep 24, 2024",1h 31m,We Will Dance Again,,,,,
Diego Hallivis,,"Diego Hallivis,Julio Hallivis",Saban Films,Saban Films,R (Gore|Drug Use|Some Sexual References|Language Throughout|Nudity|Some Disturbing Violence),"Mystery & Thriller,Comedy",English,"Jul 15, 2022, Limited","Jul 15, 2022",1h 41m,American Carnage,Dolby Digital,Scope (2.35:1),,,
Giuseppe Tornatore,"Gianni Russo,Gabriele Costa,Peter De Maegd,San Fu Maltha,Kar-Wai Wong",Giuseppe Tornatore,Music Box Films,,,"Biography,Documentary,Music",English,"Feb 9, 2024, Limited","Apr 9, 2024",2h 47m,Ennio,,,,,
loundraw,,Otsuichi,,Avex Inc.,,"Fantasy,Drama,Anime",Japanese,,"Nov 1, 2022",45m,Summer Ghost,,,,,
Angel Manuel Soto,"Marc Bienstock,Clarence Hammond,Caleeb Pinkett","Christopher M. Boyd,Sherman Payne",,"Overbrook Entertainment,Sony Pictures Entertainment",R (Some Violence|Sexual References|Pervasive Language),Drama,English,,"Oct 8, 2020",2h 5m,Charm City Kings,,,,,
Francis Lawrence,"Peter Chernin,David Ready,Jenno Topping","Michael Handelman,David Guion",Netflix,Chernin Entertainment,PG (Peril|Language|Action|Some Thematic Elements|Suggestive References),"Kids & Family,Fantasy",English,"Nov 11, 2022, Limited","Nov 18, 2022",1h 57m,Slumberland,,,,,
Wes Anderson,"Wes Anderson,Jeremy Dawson,Steven Rales",Wes Anderson,Netflix,"American Empirical Pictures,Netflix,Indian Paintbrush",,Comedy,English,,"Sep 28, 2023",17m,The Swan,,,,,
Darren Marshall,,Darren Marshall,,,,"Drama,Romance",English,,"Oct 14, 2016",1h 21m,Crescent City,,,,,
Scott Waugh,"Hans Canosa,Esmond Ren",Arash Amel,,"XYZ Films,Huaxia Film Distribution,Changchun Film Studio,Flame Pictures Company,Epitome,Talent International Media",,"Action,Adventure",English,,"Jul 28, 2023",1h 42m,Hidden Strike,,,,,
Oswald Mitchell,Harry Reynolds,"Betty M. Davies,John Gilling",,,,"Mystery & Thriller,Horror",English,,"May 1, 2020",1h 17m,House of Darkness,,,,,
Sean McNamara,Steven Paul,Ian Neligh,Paramount Global Content Distribution,SP Media Group,R (Violence and Gore|Language|Brief Drug Material),"Mystery & Thriller,Horror",English,"Oct 6, 2023, Limited","Oct 16, 2023",1h 23m,Vindicta,,,,,
Yugo Sakamoto,"Riku Sumida,Tsuyoshi Goto",Yugo Sakamoto,,Shaiker,,"Action,Comedy,Drama,Mystery & Thriller",Japanese,,"Jul 22, 2022",1h 35m,Baby Assassins,,,,,
Gary Wheeler,"Gary Wheeler,Jason White","Dustin Rikert,William Shockley",,"INSP Films,Brain Power Studio",,Western,English,,"Jan 9, 2024",1h 30m,Far Haven,,,,,
,,,,,,Drama,English,,,4h 0m,The Mistress,,,,,
Mike Elliott,"Mike Elliott,Joseph P. Genier","Blayne Weaver,David H. Steinberg",,"Capital Arts Entertainment,Universal 1440 Entertainment",R (Strong/Crude Sexual Content|Language Throughout|Alcohol and Some Drug Use),Comedy,English,,"Oct 4, 2020",1h 35m,American Pie Presents: Girls' Rules,,,,,
Franco Dipietro,,Franco Dipietro,,,,Drama,Italian,,"Apr 28, 2020",19m,Chernobyl 1986,,,,,
Victoria Rowell,Brandon Lee Ward,Victoria Rowell,Quiver Distribution,"Burke Entertainment,Days Ferry Productions",,"Holiday,Romance,Comedy,Drama",English,,"Nov 8, 2024",1h 31m,Christmas in the Friendly Skies,,,,,
Norman Thaddeus Vane,"Norman Thaddeus Vane,Gloria J. Morrison",,,,R,Comedy,English,,,1h 24m,Midnight,Surround,,,,
Ali Scher,"Christian Hall,Errol Sadler,Ali Scher,Camilo Diaz Caro,Aidan Guthrie","Ali Scher,Joe Swanson",Blue Fox Entertainment,Two Independent Eyes Productions,PG (Thematic Elements),"Kids & Family,Comedy,Adventure",English,"Feb 9, 2024, Limited","Mar 26, 2024",1h 28m,Popular Theory,,,,,
Mindy Bledsoe,"Mindy Bledsoe,Chris Lyon,Rob Senska,Jennifer Stone,Blayne Weaver","Mindy Bledsoe,Jennifer Stone,Rob Senska",,"Perennial Media,Bledska Works",,"Drama,Comedy",English,,"May 16, 2021",1h 18m,The In Between,Stereo,Scope (2.35:1),,,
Peter Flinth,"Nikolaj Coster-Waldau,Baltasar Kormákur","Nikolaj Coster-Waldau,Joe Derrick,Ejnar Mikkelsen,Nikolaj Coster-Waldau,Joe Derrick",,"Ill Kippers Productions,RVK Studios",,"Drama,Adventure,History",English,,"Mar 2, 2022",1h 42m,Against the Ice,"Dolby Digital,Dolby Atmos",,,,
Peter Sagnia,Peter Sagnia,"Peter Sagnia,Anderson Percival",,,,Drama,English,,"Aug 19, 2016",1h 13m,Consumed,,,,,
Janicza Bravo,"Christine Vachon,David Hinojosa,Gia Walsh,Kara Baker,Vince Jolivette,Elizabeth Haggard,Dave Franco","Janicza Bravo,Jeremy O. Harris",A24,"Killer Films,Ramona Films,Gigi Films",R (Graphic Nudity|A Sexual Assault|Language Throughout|Strong Sexual Content|Violence),"Comedy,Mystery & Thriller,Drama",English,"Jun 30, 2021, Wide","Sep 14, 2021",1h 27m,Zola,,Flat (1.85:1),,,
"Bonni Cohen,Jon Shenk","Serin Marshall,Jennifer Sey,Julie Parker Benello",,,Netflix,PG-13 (Descriptions of Sexual Abuse|Mature Thematic Content),Documentary,English,,"Jun 25, 2020",1h 43m,Athlete A,,,,,
James Dodson,,,,Miramax,R,"Action,Mystery & Thriller",English,,,1h 30m,Deadlock,,,,,
Andy Mitchell,Laura Thomas,,Netflix,Red Rock Films,,Documentary,English,,"Aug 9, 2024",1h 15m,Inside the Mind of a Dog,,,,,
Woo Min-ho,"Kim Wonguk,Woo Min-ho","Lee Ji-min,Woo Min-ho",Capelight Pictures,"Gemstone Pictures,Hive Media",,Drama,Korean,"Jan 31, 2020, Limited","May 19, 2020",1h 54m,The Man Standing Next,,,$113.5K,,
Scott Vickers,"Alan Cuthbert,Steven Little,Scott Vickers",Scott Vickers,,New Light Films,R (Drug Abuse|Disturbing Behavior|Brief Language|Nudity|Violence),"Horror,Mystery & Thriller",British English,,"Apr 11, 2019",1h 31m,Matriarch,,,,,
Brian Duffield,"Nicki Cortese,Brian Duffield,Matthew Kaplan,Jordan Levin",Brian Duffield,,"Awesomeness Films,Jurassic Party Productions",R (Language|Bloody Images Throughout|Teen Drug and Alcohol Use),"Comedy,Horror,Romance",English,"Oct 2, 2020, Limited","Oct 6, 2020",1h 42m,Spontaneous,,Scope (2.35:1),,,
Claire Denis,Olivier Delbosc,"Claire Denis,Andrew Litvack,Léa Mysius,Denis Johnson",A24,"September Film Distribution,Ad Vitam,Arte France Cinema,Curiosa Films,Barnstormer Productions,Hypatia Films",R (Nudity|Language|Sexual Content|Some Violence),"Drama,Mystery & Thriller,Romance",English,"Oct 14, 2022, Limited","Oct 14, 2022",2h 17m,Stars at Noon,Digital 5.1,Digital 2.39:1,$36.0K,,
Bobby Roth,Edwin Self,,,"Alliance Atlantis Communications,Cosgrove/Meurer Productions,Alliance Communications Corporation",TV-G,Drama,English,,"Jun 5, 2017",1h 36m,Inheritance,,,,,
Kwang-Il Han,"Lauren Schmidt Hissrich,Beau de Mayo","Beau DeMayo,Beau de Mayo,Andrzej Sapkowski",,Studio Mir,,"Fantasy,Action,Adventure,Animation",English,,"Aug 23, 2021",1h 23m,The Witcher: Nightmare of the Wolf,"Dolby Digital,Dolby Atmos",,,,
Gabriela Tagliavini,"Lucas Jarach,German Michael Torres","Paco Farias,Jennifer C. Stetson,Michael Varrati",Netflix,"GMT Films,Netflix Studios",,"Holiday,Romance,Comedy",English,"Nov 11, 2022, Limited","Nov 17, 2022",1h 29m,Christmas With You,,,,,
Stanley M. Brooks,,Adrienne Rush,,"Lighthouse Pictures,Mar Vista Productions",TV-14 (S|L|D|V),"Crime,Drama",English,,"Mar 12, 2022",1h 28m,Cruel Instruction,,,,,
Jim Towns,"Jamie Bernadette,Craig Stark,Jim Towns",Jim Towns,The Asylum,"Shadow Kamera Films,Desolation Films",,"Horror,Action,Mystery & Thriller",English,"Jul 14, 2023, Limited","Jul 14, 2023",1h 53m,End Times,,,,,
Matt Cascella,,Jen Cordery,Good Deed Entertainment,Big Shins Films,,"Comedy,Drama",English,,"Oct 22, 2024",1h 30m,Hangdog,,,,,
Murray Robinson,"Robert Abramoff,D. Scott Lumpkin,Murray Robinson",Murray Robinson,,"Chickasabogue Filmworks LLC,The Novice LLC,Lumpkin Productions",,Drama,English,"Sep 30, 2006, Original","May 16, 2019",1h 29m,The Novice,,,,,
Sarah Spillane,"Susan Cartsonis,Debra Martin Chase,Andrew Fraser","Rebecca Banner,Cathy Randall,Sarah Spillane",,"The Rebel Fleet ,Resonate Entertainment ,Sunstar Entertainment,Martin Chase Productions",TV-PG,"Drama,Biography",English,,"Feb 3, 2023",1h 49m,True Spirit,,,,,
